Creator	Source	Duration (sec)	Location	Day of Week	Time(HHMM)	Date (YYYYMMDD)	Label
Charlie	Manual_Entry	2388	London	Thursday	0418	20230601	0
Delta_Bot	API	2498	London	Friday	1210	20230804	1
Bob	Manual_Entry	1779	London	Sunday	2322	20230101	1
Bob	API	2742	New York	Sunday	2000	20230806	1
Charlie	Web_Scraper	628	London	Thursday	1920	20230511	0
Bob	Web_Scraper	1955	London	Sunday	2358	20230917	1
Charlie	Web_Scraper	128	New York	Tuesday	1818	20231024	0
Bob	Manual_Entry	3270	Mumbai	Tuesday	0409	20230221	1
Delta_Bot	Web_Scraper	671	Mumbai	Thursday	2005	20230720	0
Delta_Bot	Web_Scraper	1648	Mumbai	Tuesday	1255	20231128	0
Bob	Web_Scraper	1054	Remote	Saturday	1125	20230211	1
Bob	Manual_Entry	1872	New York	Tuesday	1949	20230815	1
Alice	API	2112	London	Friday	0711	20230825	1
Bob	Web_Scraper	1371	London	Tuesday	0608	20230905	1
Delta_Bot	Web_Scraper	1160	New York	Saturday	1617	20230128	0
Bob	API	905	Mumbai	Sunday	1542	20231210	1
Alice	Web_Scraper	2829	Remote	Friday	1920	20230224	1
Delta_Bot	Web_Scraper	1635	Mumbai	Sunday	2350	20230423	0
Alice	Web_Scraper	2199	Remote	Saturday	1004	20230415	1
Delta_Bot	API	683	Mumbai	Sunday	0905	20230219	0
Charlie	Manual_Entry	564	Mumbai	Tuesday	2257	20230530	1
Delta_Bot	Manual_Entry	1358	London	Tuesday	1147	20231114	0
Alice	API	1851	Mumbai	Wednesday	0746	20230816	1
Bob	Manual_Entry	3575	Mumbai	Tuesday	2100	20230124	1
Delta_Bot	Web_Scraper	1976	Remote	Thursday	0317	20230126	0
Alice	Web_Scraper	314	London	Thursday	1933	20231102	1
Alice	Web_Scraper	1928	London	Sunday	0609	20231203	0
Charlie	Manual_Entry	492	Mumbai	Thursday	0056	20230223	1
Alice	Manual_Entry	1300	London	Thursday	1955	20231109	1
Alice	Manual_Entry	1221	New York	Thursday	1851	20230202	1
Charlie	Web_Scraper	2222	Remote	Thursday	1936	20230223	0
Bob	Web_Scraper	1575	Remote	Thursday	0935	20230727	0
Alice	Web_Scraper	239	Remote	Thursday	1933	20231221	0
Delta_Bot	Web_Scraper	3477	Remote	Sunday	2342	20230618	0
Alice	Manual_Entry	2395	Mumbai	Saturday	0859	20230701	0
Delta_Bot	API	2766	New York	Thursday	2212	20230518	0
Alice	Manual_Entry	304	New York	Wednesday	2151	20230510	0
Charlie	API	1197	New York	Tuesday	0804	20230725	1
Delta_Bot	API	1611	New York	Sunday	0559	20230115	0
Alice	Web_Scraper	3437	New York	Sunday	1211	20230115	1
Charlie	API	1168	London	Tuesday	1033	20230117	1
Charlie	Web_Scraper	600	Remote	Monday	0600	20230227	1
Charlie	Manual_Entry	516	London	Wednesday	1315	20230906	1
Bob	Web_Scraper	754	Remote	Sunday	0407	20230430	1
Charlie	API	399	London	Thursday	0852	20231207	1
Delta_Bot	API	1104	Remote	Tuesday	1315	20230613	0
Bob	Web_Scraper	231	New York	Saturday	1810	20230715	0
Charlie	API	871	New York	Sunday	0606	20230507	1
Bob	Web_Scraper	1733	London	Friday	1603	20231020	1
Delta_Bot	API	2258	New York	Tuesday	0447	20231017	0
Bob	Manual_Entry	2927	New York	Saturday	1512	20230916	1
Charlie	Web_Scraper	1102	Remote	Saturday	0820	20230107	0
Bob	Manual_Entry	2003	Mumbai	Friday	1157	20230901	0
Alice	API	653	Remote	Thursday	0524	20230601	1
Charlie	Manual_Entry	247	London	Friday	1153	20230512	0
Alice	Web_Scraper	825	Mumbai	Tuesday	0435	20230815	0
Bob	API	1558	Mumbai	Saturday	0541	20230617	1
Charlie	Manual_Entry	3571	Mumbai	Sunday	2237	20231210	1
Charlie	API	630	New York	Thursday	0657	20230223	1
Charlie	Web_Scraper	2288	New York	Wednesday	0537	20230125	1
Alice	API	3536	Mumbai	Saturday	0412	20230304	1
Bob	Manual_Entry	180	Mumbai	Thursday	1029	20230706	1
Delta_Bot	Manual_Entry	1633	New York	Monday	1846	20230925	0
Charlie	Web_Scraper	739	Mumbai	Friday	1427	20230707	0
Delta_Bot	API	3399	New York	Saturday	0049	20230415	0
Delta_Bot	Manual_Entry	216	Remote	Friday	0516	20231027	0
Delta_Bot	Manual_Entry	2437	New York	Wednesday	2150	20230503	0
Bob	Web_Scraper	1093	Mumbai	Monday	0004	20230213	1
Delta_Bot	Web_Scraper	2887	Remote	Tuesday	1011	20230613	0
Charlie	Web_Scraper	2988	London	Thursday	0144	20230420	0
Delta_Bot	Web_Scraper	559	Mumbai	Monday	1736	20230710	0
Delta_Bot	Web_Scraper	3459	Mumbai	Thursday	1113	20231116	0
Delta_Bot	Manual_Entry	1319	London	Friday	1315	20231124	0
Charlie	API	803	New York	Sunday	1718	20230122	1
Bob	Manual_Entry	216	Remote	Tuesday	1711	20231031	0
Charlie	Manual_Entry	2916	New York	Tuesday	2320	20230725	1
Delta_Bot	Web_Scraper	3569	New York	Sunday	0833	20230806	0
Delta_Bot	Manual_Entry	755	Mumbai	Friday	0220	20231117	0
Charlie	Web_Scraper	2337	Remote	Friday	1809	20231222	0
